ds,y,unique_id
315,974.3,platinum
316,968.5,platinum
317,976.0,platinum
318,988.5,platinum
319,998.7,platinum
320,997.2,platinum
321,1002.2,platinum
322,1004.3,platinum
323,1003.9,platinum
324,1006.5,platinum
325,1016.7,platinum
326,1019.1,platinum
327,1003.2,platinum
328,1010.8,platinum
329,1019.0,platinum
330,1016.4,platinum
331,1013.4,platinum
332,1014.3,platinum
333,1010.3,platinum
334,1001.6,platinum
335,1005.5,platinum
336,1009.6,platinum
337,995.9,platinum
338,993.2,platinum
339,994.8,platinum
340,994.0,platinum
341,985.0,platinum
342,978.9,platinum
343,968.2,platinum
344,970.4,platinum
345,973.4,platinum
346,978.1,platinum
347,1001.6,platinum
348,1004.2,platinum
349,1008.8,platinum
350,1007.8,platinum
351,1008.2,platinum
352,1002.2,platinum
353,994.5,platinum
354,1000.1,platinum
355,998.1,platinum
356,996.3,platinum
357,1002.2,platinum
358,985.3,platinum
359,984.8,platinum
360,970.0,platinum
361,967.4,platinum
362,969.8,platinum
363,964.6,platinum
364,971.3,platinum
365,955.1,platinum
366,953.6,platinum
367,966.9,platinum
368,966.4,platinum
369,966.1,platinum
370,967.6,platinum
371,963.3,platinum
372,955.3,platinum
373,950.9,platinum
374,950.2,platinum
375,954.7,platinum
376,943.9,platinum
377,959.9,platinum
378,950.8,platinum
379,949.6,platinum
380,956.0,platinum
381,960.0,platinum
382,952.1,platinum
383,945.0,platinum
384,936.6,platinum
385,939.4,platinum
386,939.3,platinum
387,929.3,platinum
388,920.7,platinum
389,916.8,platinum
390,920.6,platinum
391,923.7,platinum
392,937.0,platinum
393,935.9,platinum
394,936.1,platinum
395,932.0,platinum
396,934.3,platinum
397,934.1,platinum
398,933.3,platinum
399,939.0,platinum
400,946.5,platinum
401,938.0,platinum
402,929.4,platinum
403,929.1,platinum
404,923.3,platinum
405,934.0,platinum
406,914.7,platinum
407,910.2,platinum
408,916.8,platinum
409,916.2,platinum
410,906.4,platinum
411,894.6,platinum
412,896.5,platinum
413,903.8,platinum
414,911.6,platinum
415,911.3,platinum
416,912.6,platinum
417,915.7,platinum
418,914.8,platinum
419,925.8,platinum
420,924.0,platinum
421,924.4,platinum
422,911.6,platinum
423,898.4,platinum
424,892.6,platinum
425,891.0,platinum
426,886.8,platinum
427,886.2,platinum
428,899.5,platinum
429,908.3,platinum
430,904.6,platinum
431,910.4,platinum
432,900.6,platinum
433,901.6,platinum
434,905.4,platinum
435,907.6,platinum
436,910.1,platinum
437,909.7,platinum
438,903.7,platinum
439,904.2,platinum
440,900.9,platinum
441,902.5,platinum
442,906.1,platinum
443,901.1,platinum
444,908.2,platinum
445,907.7,platinum
446,905.6,platinum
447,900.4,platinum
448,902.4,platinum
449,906.2,platinum
450,888.2,platinum
451,889.1,platinum
452,885.7,platinum
453,867.2,platinum
454,870.8,platinum
455,864.0,platinum
456,878.7,platinum
457,880.6,platinum
458,869.8,platinum
459,871.4,platinum
460,861.0,platinum
461,853.5,platinum
462,856.9,platinum
463,856.8,platinum
464,819.4,platinum
465,844.1,platinum
466,846.4,platinum
467,844.5,platinum
468,847.0,platinum
469,848.4,platinum
470,855.3,platinum
471,846.0,platinum
472,831.7,platinum
473,844.6,platinum
474,831.7,platinum
475,832.2,platinum
476,828.0,platinum
477,818.5,platinum
478,821.6,platinum
479,809.2,platinum
480,828.9,platinum
481,833.0,platinum
482,834.0,platinum
483,836.6,platinum
484,847.4,platinum
485,829.5,platinum
486,832.3,platinum
487,832.6,platinum
488,831.3,platinum
489,839.7,platinum
490,821.5,platinum
491,825.0,platinum
492,832.5,platinum
493,836.1,platinum
494,824.3,platinum
495,832.6,platinum
496,832.0,platinum
497,833.7,platinum
498,828.8,platinum
499,830.5,platinum
500,799.8,platinum
501,801.2,platinum
502,765.2,platinum
503,781.0,platinum
504,788.1,platinum
505,788.3,platinum
506,795.9,platinum
507,795.3,platinum
508,792.9,platinum
509,775.6,platinum
510,790.5,platinum
511,792.7,platinum
512,805.0,platinum
513,791.8,platinum
514,797.2,platinum
515,791.1,platinum
516,787.8,platinum
517,787.2,platinum
518,787.6,platinum
519,777.8,platinum
520,785.5,platinum
521,792.7,platinum
522,781.9,platinum
523,782.1,platinum
524,786.3,platinum
525,792.5,platinum
526,799.8,platinum
527,804.2,platinum
528,794.6,platinum
529,793.5,platinum
530,795.4,platinum
531,815.2,platinum
532,824.2,platinum
533,835.0,platinum
534,828.7,platinum
535,829.4,platinum
536,831.6,platinum
537,827.8,platinum
538,827.6,platinum
539,813.2,platinum
540,818.5,platinum
